catalogue_ticker,company_name,catalogue_country,catalogue_exchange_hint,catalogue_is_us_listed,resolution_status,resolution_note,exchange_code,mic,symbol,symbol_format,security_kind,listing_country,currency,figi,share_class_figi,isin,is_primary,is_us,confidence,source
GWW,WW Grainger Inc,US,NYSE,true,resolved,matched US directory as GWW,US,XNYS,GWW,us,ordinary,US,USD,BBG000BKR1D6,BBG001S5RRD2,,true,true,0.95,finnhub_directory
GXO,GXO Logistics Inc,US,NYSE,true,resolved,matched US directory as GXO,US,XNYS,GXO,us,ordinary,US,USD,BBG00YDGX945,BBG00YDGX9Z1,,true,true,0.95,finnhub_directory
GXYE.F,Galaxy Entertainment Group Ltd,US,OTCPK,false,resolved,resolved by name search to GXYEF on US,US,XNYS,GXYEF,us,ordinary,US,USD,BBG000C00HC4,BBG001S70377,,true,true,0.7,finnhub_directory
HAFN,Hafnia Ltd,US,NYSE,true,resolved,matched US directory as HAFN,US,XNYS,HAFN,us,ordinary,US,USD,BBG00RFF7H50,BBG007PK3J70,,true,true,0.95,finnhub_directory
HAL,Halliburton Company,US,NYSE,true,resolved,matched US directory as HAL,US,XNYS,HAL,us,ordinary,US,USD,BBG000BKTFN2,BBG001S5RS59,,true,true,0.95,finnhub_directory
HALO,Halozyme Therapeutics Inc,US,NASDAQGS,true,resolved,matched US directory as HALO,US,XNAS,HALO,us,ordinary,US,USD,BBG000CZ8W54,BBG001SGX585,,true,true,0.95,finnhub_directory
HAS,Hasbro Inc,US,NASDAQGS,true,resolved,matched US directory as HAS,US,XNAS,HAS,us,ordinary,US,USD,BBG000BKVJK4,BBG001S5RSQ6,,true,true,0.95,finnhub_directory
HBAN,Huntington Bancshares Incorporated,US,NASDAQGS,true,resolved,matched US directory as HBAN,US,XNAS,HBAN,us,ordinary,US,USD,BBG000BKWSR6,BBG001S5RSZ6,,true,true,0.95,finnhub_directory
HBM,HudBay Minerals Inc,US,NYSE,true,resolved,matched US directory as HBM,US,XNYS,HBM,us,ordinary,US,USD,BBG000PM99H6,BBG001SL27N7,,true,true,0.95,finnhub_directory
HCA,HCA Holdings Inc,US,NYSE,true,resolved,"likely renamed: catalogue says ""HCA Holdings Inc"", venue says ""HCA HEALTHCARE INC""",US,XNYS,HCA,us,ordinary,US,USD,BBG000QW7VC1,BBG001T8NTY2,,true,true,0.6,finnhub_directory
HCHD.F,Hochschild Mining PLC,US,OTCPK,false,resolved,resolved by name search to HCHDF on US,US,XNYS,HCHDF,us,ordinary,US,USD,BBG000QPFNN3,BBG001SNJV52,,true,true,0.7,finnhub_directory
HCI,HCI Group Inc,US,NYSE,true,resolved,matched US directory as HCI,US,XNYS,HCI,us,ordinary,US,USD,BBG000F4DVC8,BBG001T2C2P6,,true,true,0.95,finnhub_directory
HCXL.F,Hiscox Ltd,US,OTCPK,false,resolved,resolved by name search to HCXLF on US,US,XNYS,HCXLF,us,ordinary,US,USD,BBG000PRWVY1,BBG001S7ZWG5,,true,true,0.7,finnhub_directory
HCXL.F,Hiscox Ltd,US,OTCPK,false,resolved,resolved by name search to HCXLF on US,US,OOTC,HCXLY,us,adr,US,USD,BBG000JX7RJ9,BBG001SBX540,,false,true,0.7,finnhub_directory
HD,Home Depot Inc,US,NYSE,true,resolved,matched US directory as HD,US,XNYS,HD,us,ordinary,US,USD,BBG000BKZB36,BBG001S5RTW7,,true,true,0.95,finnhub_directory
HEI,Heico Corporation,US,NYSE,true,resolved,matched US directory as HEI,US,XNYS,HEI,us,ordinary,US,USD,BBG000BL16Q7,BBG001S5RVC4,,true,true,0.95,finnhub_directory
HEI,Heico Corporation,US,NYSE,true,resolved,matched US directory as HEI,US,XNYS,HEI.A,us,ordinary,US,USD,BBG000F0CD91,BBG001S96YM2,,false,true,0.75,finnhub_directory
HEI.A,Heico Corp A,US,NYSE,true,resolved,matched US directory as HEI.A,US,XNYS,HEI.A,us,ordinary,US,USD,BBG000F0CD91,BBG001S96YM2,,true,true,0.95,finnhub_directory
HEI.A,Heico Corp A,US,NYSE,true,resolved,matched US directory as HEI.A,US,XNYS,HEI,us,ordinary,US,USD,BBG000BL16Q7,BBG001S5RVC4,,false,true,0.75,finnhub_directory
HESM,Hess Midstream Partners LP,US,NYSE,true,resolved,matched US directory as HESM,US,XNYS,HESM,us,ordinary,US,USD,BBG00R02H8D5,BBG00R02H8F3,,true,true,0.95,finnhub_directory
HG,Hamilton Insurance Group Ltd B,BM,NYSE,true,resolved,matched US directory as HG,US,XNYS,HG,us,ordinary,US,USD,BBG01JRQ9QJ3,BBG01JRQ9RC8,,true,true,0.95,finnhub_directory
HGTY,Hagerty Inc,US,NYSE,true,resolved,matched US directory as HGTY,US,XNYS,HGTY,us,ordinary,US,USD,BBG00Z9FKMG1,BBG00Z9FKN97,,true,true,0.95,finnhub_directory
HIG,Hartford Financial Services Group,US,NYSE,true,resolved,"likely renamed: catalogue says ""Hartford Financial Services Group"", venue says ""HARTFORD INSURANCE GROUP INC""",US,XNYS,HIG,us,ordinary,US,USD,BBG000G0Z878,BBG001S8PXF3,,true,true,0.6,finnhub_directory
HII,Huntington Ingalls Industries Inc,US,NYSE,true,resolved,matched US directory as HII,US,XNYS,HII,us,ordinary,US,USD,BBG001KJ2HM9,BBG001V0PDL3,,true,true,0.95,finnhub_directory
HIK,Hikma Pharmaceuticals PLC,GB,LSE,false,resolved,,LN,XLON,HIK,suffixed,ordinary,GB,GBP,BBG000FG1MF1,BBG001SNK879,,true,false,0.95,openfigi
HIK,Hikma Pharmaceuticals PLC,GB,LSE,false,resolved,,US,OOTC,HKMPF,us,ordinary,US,USD,BBG000J7LQT1,BBG001SNK879,,false,true,0.9,finnhub_directory
HILS,Hill & Smith PLC,GB,LSE,false,resolved,,LN,XLON,HILS,suffixed,ordinary,GB,GBP,BBG000BDLLL5,BBG001S627W0,,true,false,0.95,openfigi
HILS,Hill & Smith PLC,GB,LSE,false,resolved,,US,OOTC,HSHPF,us,ordinary,US,USD,BBG000JDHW47,BBG001S627W0,,false,true,0.9,finnhub_directory
